"diamondType","diamondShape","diamondCarat","diamondColor","diamondClarity","diamondPolish","diamondSymmetry","diamondFluorescence","diamondTable","diamondDepth","diamondX","diamondY","diamondZ","diamondCertification","diamondPrice"
"Natural","Heart","0.5","G","VVS2","Excellent","Excellent","Faint",0.59,0.553,5.05,5.57,3.08,"GIA","1571.00"
"Natural","Heart","0.5","E","VS1","Excellent","Very Good","None",0.63,0.599,4.66,5.52,3.31,"GIA","1683.00"
"Natural","Pear","0.5","D","VS2","Excellent","Excellent","None",0.61,0.592,7.21,4.42,2.62,"GIA","1510.00"
"Natural","Pear","0.5","E","VVS1","Excellent","Good","None",0.61,0.55,7.49,4.37,2.4,"GIA","1571.00"
"Natural","Pear","0.5","F","VS1","Very Good","Very Good","None",0.63,0.565,6.95,4.54,2.57,"GIA","1460.00"
"Natural","Pear","0.5","H","VS1","Excellent","Very Good","None",0.61,0.63,6.72,4.4,2.77,"GIA","1279.00"
"Natural","Pear","0.5","F","VS1","Excellent","Very Good","Faint",0.61,0.572,7.46,4.41,2.52,"GIA","1436.00"
"Natural","Pear","0.5","G","VS2","Excellent","Very Good","None",0.59,0.643,6.72,4.45,2.86,"GIA","1266.00"
"Natural","Pear","0.5","G","SI1","Excellent","Very Good","None",0.6,0.627,7.06,4.36,2.74,"GIA","1075.00"
"Natural","Pear","0.5","E","VS1","Excellent","Very Good","None",0.6,0.59,7.35,4.43,2.62,"GIA","1584.00"
"Natural","Pear","0.5","D","VVS2","Excellent","Excellent","None",0.61,0.635,6.77,4.42,2.81,"GIA","1683.00"
"Natural","Pear","0.5","G","VS2","Very Good","Very Good","Faint",0.62,0.621,7.08,4.39,2.73,"GIA","1223.00"
"Natural","Round","0.5","G","VVS2","Excellent","Excellent","None",0.6,0.591,5.16,5.18,3.06,"GIA","1637.00"
"Natural","Round","0.5","E","VS1","Excellent","Excellent","None",0.58,0.625,5.06,5.09,3.17,"GIA","1825.00"
"Natural","Round","0.5","H","SI1","Excellent","Excellent","None",0.59,0.598,5.14,5.19,3.09,"GIA","1155.00"
"Natural","Round","0.5","E","VS1","Excellent","Excellent","Faint",0.59,0.602,5.15,5.18,3.11,"GIA","1503.00"
"Natural","Emerald","0.5","F","VVS2","Excellent","Very Good","None",0.7,0.634,5.38,3.93,2.49,"GIA","1490.00"
